"naftournament";"nafcoach";"race"
"66";"1724";"14"
"66";"2499";"12"
"66";"2710";"8"
"66";"2715";"4"
"66";"2717";"10"
"66";"2719";"1"
"66";"2752";"6"
"66";"2714";"2"
"66";"137";"2"
"74";"726";"2"
"74";"783";"11"
"74";"1149";"12"
"74";"1157";"11"
"74";"1184";"13"
"72";"104";"2"
"72";"106";"3"
"72";"113";"7"
"72";"116";"12"
"72";"123";"12"
"72";"1507";"5"
"72";"2402";"11"
"72";"2852";"12"
"7289";"22512";"4"
"72";"2854";"2"
"61";"101";"12"
"61";"126";"3"
"61";"141";"1"
"61";"143";"5"
"61";"341";"7"
"61";"472";"1"
"61";"544";"12"
"61";"555";"6"
"61";"574";"6"
"61";"1183";"1"
"61";"1427";"13"
"61";"1613";"1"
"61";"1763";"6"
"61";"1923";"1"
"61";"2064";"5"
"61";"2255";"2"
"61";"2456";"4"
"61";"2460";"14"
"61";"2736";"5"
"61";"2801";"5"
"61";"2803";"2"
"61";"2804";"5"
"61";"2806";"1"
"61";"2808";"15"
"61";"2809";"4"
"61";"2810";"4"
"61";"2811";"4"
"61";"2906";"5"
"61";"2907";"11"
"61";"2908";"1"
"61";"2909";"3"
"61";"2910";"9"
"61";"2912";"11"
"61";"2913";"10"
"61";"2914";"2"
"61";"2915";"9"
"61";"2916";"10"
"61";"2973";"1"
"61";"2976";"5"
"61";"2977";"6"
"61";"55";"12"
"61";"68";"11"
"61";"142";"9"
"61";"172";"9"
"61";"208";"13"
"61";"296";"8"
"61";"468";"1"
"61";"1104";"14"
"61";"1116";"10"
"61";"1117";"7"
"61";"1531";"3"
"61";"1861";"2"
"61";"2794";"3"
"61";"2795";"15"
"61";"2796";"12"
"61";"2797";"13"
"61";"2798";"5"
"61";"2800";"12"
"61";"2802";"3"
"61";"2929";"11"
"61";"2974";"2"
"61";"2975";"2"
"73";"1765";"11"
"73";"3041";"15"
"73";"3042";"13"
"73";"3043";"11"
"73";"3044";"5"
"64";"36";"14"
"73";"3047";"4"
"64";"783";"11"
"64";"1124";"4"
"64";"1761";"5"
"64";"70";"2"
"64";"270";"14"
"64";"60";"4"
"64";"1125";"6"
"64";"1147";"15"
"64";"2351";"6"
"64";"102";"2"
"64";"264";"1"
"64";"2460";"14"
"64";"3133";"4"
"64";"372";"3"
"64";"1688";"5"
"64";"88";"3"
"64";"268";"5"
"64";"273";"11"
"64";"568";"1"
"64";"1149";"13"
"64";"1267";"5"
"64";"1797";"13"
"64";"3132";"12"
"64";"69";"15"
"64";"75";"6"
"64";"1102";"12"
"64";"1157";"11"
"64";"2420";"13"
"64";"2529";"12"
"64";"493";"11"
"64";"1143";"9"
"64";"1347";"5"
"83";"28";"15"
"83";"33";"8"
"83";"111";"11"
"83";"161";"9"
"83";"162";"10"
"83";"171";"11"
"83";"194";"15"
"83";"201";"1"
"83";"207";"11"
"83";"212";"4"
"83";"1102";"12"
"83";"1335";"11"
"83";"1430";"13"
"7289";"34180";"2"
"83";"1654";"9"
"83";"1814";"9"
"83";"1882";"9"
"83";"2203";"1"
"83";"2405";"2"
"83";"2410";"1"
"83";"2591";"5"
"83";"2678";"11"
"83";"2732";"5"
"73";"1117";"7"
"73";"172";"9"
"73";"2040";"1"
"73";"2785";"5"
"73";"1116";"5"
"73";"2795";"15"
"7289";"34181";"17"
"73";"3046";"4"
"77";"54";"3"
"77";"441";"5"
"77";"442";"15"
"77";"2412";"1"
"77";"2899";"1"
"77";"3019";"4"
"77";"3276";"2"
"77";"3277";"14"
"77";"3278";"5"
"77";"3279";"3"
"77";"3280";"4"
"77";"3281";"12"
"85";"176";"7"
"85";"1554";"9"
"85";"1616";"1"
"85";"1833";"4"
"85";"1981";"2"
"85";"1982";"3"
"85";"1983";"5"
"85";"2165";"5"
"85";"2558";"5"
"85";"2560";"4"
"85";"2562";"9"
"85";"2777";"1"
"85";"3369";"11"
"75";"53";"15"
"75";"181";"9"
"75";"184";"9"
"75";"224";"3"
"75";"1100";"7"
"75";"1101";"1"
"75";"1102";"12"
"75";"1103";"12"
"75";"1147";"15"
"75";"1191";"5"
"75";"3290";"3"
"75";"2502";"12"
"75";"2504";"10"
"75";"2508";"13"
"75";"2509";"2"
"75";"2510";"12"
"75";"2512";"1"
"75";"2513";"13"
"75";"2514";"5"
"75";"2515";"1"
"75";"2516";"6"
"75";"2519";"1"
"75";"2557";"13"
"75";"2640";"14"
"75";"2925";"12"
"75";"2940";"13"
"75";"2949";"12"
"75";"3035";"12"
"75";"3289";"2"
"75";"3291";"3"
"75";"3293";"5"
"75";"3298";"10"
"75";"3299";"7"
"75";"3300";"13"
"75";"7710";"5"
"75";"3302";"9"
"75";"3303";"6"
"75";"3294";"11"
"75";"3295";"1"
"75";"2517";"5"
"75";"3292";"1"
"75";"212";"2"
"75";"182";"2"
"29";"36";"14"
"29";"60";"4"
"29";"68";"15"
"29";"69";"15"
"29";"70";"2"
"29";"73";"11"
"29";"75";"6"
"29";"80";"5"
"29";"83";"1"
"29";"86";"1"
"29";"87";"2"
"29";"89";"3"
"29";"91";"2"
"29";"93";"15"
"29";"95";"8"
"29";"96";"4"
"29";"100";"11"
"29";"101";"12"
"29";"102";"15"
"29";"103";"11"
"29";"146";"13"
"29";"203";"1"
"29";"219";"5"
"29";"247";"13"
"29";"264";"1"
"29";"314";"7"
"29";"340";"12"
"29";"372";"3"
"29";"419";"11"
"29";"713";"2"
"29";"766";"2"
"29";"783";"11"
"29";"1124";"12"
"29";"1128";"3"
"29";"1133";"13"
"29";"1135";"1"
"29";"1157";"12"
"29";"1761";"5"
"29";"1347";"5"
"29";"2464";"2"
"29";"2870";"15"
"29";"3407";"2"
"29";"3408";"2"
"29";"3409";"3"
"29";"3410";"12"
"77";"3413";"14"
"96";"68";"11"
"96";"130";"11"
"96";"147";"1"
"96";"544";"2"
"96";"1116";"14"
"96";"1524";"11"
"96";"2460";"14"
"96";"3356";"6"
"96";"3408";"2"
"96";"3532";"11"
"96";"3533";"5"
"96";"3534";"13"
"96";"3564";"4"
"96";"3598";"2"
"96";"3599";"6"
"96";"57";"14"
"96";"99";"4"
"96";"101";"12"
"96";"137";"2"
"96";"138";"4"
"96";"139";"15"
"96";"140";"13"
"96";"141";"9"
"96";"143";"5"
"96";"144";"1"
"96";"152";"12"
"96";"172";"9"
"96";"207";"13"
"96";"212";"2"
"96";"264";"1"
"96";"347";"3"
"96";"1102";"12"
"96";"1103";"9"
"96";"1147";"15"
"96";"2519";"1"
"96";"2717";"10"
"96";"2798";"6"
"96";"2800";"12"
"96";"2949";"5"
"96";"2973";"1"
"96";"2974";"6"
"217";"7378";"12"
"96";"3528";"11"
"51";"106";"12"
"97";"33";"8"
"96";"1368";"12"
"51";"121";"9"
"96";"3529";"4"
"96";"3530";"9"
"51";"51";"4"
"96";"1127";"4"
"96";"372";"3"
"96";"472";"11"
"96";"656";"1"
"96";"1117";"14"
"96";"1183";"13"
"96";"2463";"2"
"96";"2975";"2"
"51";"123";"12"
"51";"248";"9"
"51";"556";"1"
"51";"1471";"5"
"51";"1507";"5"
"51";"1814";"9"
"51";"3457";"13"
"51";"3451";"1"
"51";"3452";"13"
"51";"3453";"9"
"51";"3454";"4"
"51";"3455";"12"
"51";"3456";"15"
"51";"3458";"2"
"96";"1347";"5"
"90";"207";"13"
"90";"212";"2"
"90";"1101";"12"
"90";"1102";"12"
"7289";"33339";"10"
"90";"1295";"12"
"90";"2502";"12"
"90";"2503";"11"
"90";"2508";"13"
"90";"2514";"11"
"90";"2515";"1"
"90";"2516";"6"
"90";"2517";"5"
"90";"3289";"2"
"90";"3298";"1"
"90";"3302";"1"
"90";"3726";"9"
"76";"3";"13"
"76";"25";"2"
"76";"37";"14"
"76";"51";"4"
"76";"106";"2"
"76";"109";"4"
"76";"110";"12"
"76";"111";"11"
"76";"172";"9"
"76";"556";"1"
"76";"2591";"5"
"76";"3680";"12"
"76";"3870";"2"
"76";"1814";"9"
"76";"3681";"11"
"76";"105";"8"
"7289";"34179";"1"
"93";"211";"9"
"93";"212";"2"
"93";"495";"1"
"93";"1102";"12"
"93";"2504";"2"
"93";"2514";"11"
"93";"2515";"1"
"93";"2519";"1"
"93";"2686";"3"
"93";"2757";"2"
"93";"2925";"12"
"93";"2940";"13"
"93";"2949";"1"
"93";"3035";"12"
"93";"3273";"11"
"93";"3289";"12"
"93";"3293";"5"
"93";"3294";"11"
"93";"3296";"1"
"93";"3356";"12"
"93";"3588";"2"
"93";"3632";"1"
"93";"3790";"2"
"93";"3897";"4"
"93";"3898";"1"
"93";"3899";"1"
"93";"3901";"13"
"93";"3902";"5"
"93";"3903";"9"
"93";"3904";"5"
"93";"3905";"13"
"93";"4023";"8"
"93";"53";"15"
"93";"190";"6"
"93";"1103";"12"
"93";"2502";"12"
"93";"3290";"3"
"93";"3297";"5"
"93";"3299";"1"
"93";"3635";"4"
"93";"3706";"6"
"93";"3900";"1"
"93";"3935";"2"
"93";"3302";"1"
"93";"183";"9"
"93";"207";"13"
"93";"1147";"15"
"93";"3431";"11"
"93";"7710";"5"
"82";"283";"5"
"82";"2233";"2"
"82";"2372";"5"
"82";"3599";"6"
"82";"125";"12"
"82";"270";"1"
"82";"568";"13"
"82";"2810";"4"
"82";"128";"9"
"82";"129";"6"
"82";"130";"11"
"82";"652";"9"
"86";"329";"9"
"82";"1524";"2"
"82";"1724";"14"
"82";"4018";"6"
"82";"138";"4"
"82";"152";"1"
"82";"264";"3"
"82";"419";"11"
"82";"472";"1"
"82";"1183";"5"
"82";"2464";"2"
"82";"2714";"10"
"82";"3408";"11"
"82";"3531";"13"
"82";"3598";"2"
"82";"4019";"12"
"82";"4020";"12"
"82";"1149";"5"
"86";"438";"6"
"86";"439";"18"
"86";"443";"9"
"86";"448";"18"
"86";"458";"2"
"86";"459";"5"
"86";"460";"6"
"86";"461";"19"
"86";"463";"2"
"86";"1885";"6"
"86";"2899";"18"
"6561";"20141";"17"
"86";"3277";"19"
"86";"3278";"4"
"86";"3279";"3"
"86";"3281";"12"
"86";"3413";"19"
"86";"4258";"10"
"86";"4259";"2"
"86";"4260";"9"
"86";"4262";"5"
"86";"4263";"1"
"86";"4264";"2"
"86";"4265";"1"
"86";"4266";"1"
"86";"4267";"14"
"86";"4268";"3"
"86";"4269";"4"
"86";"4270";"4"
"86";"4271";"6"
"86";"4261";"3"
"86";"4272";"12"
"86";"4273";"5"
"86";"1890";"1"
"97";"111";"7"
"97";"166";"2"
"97";"171";"17"
"97";"896";"1"
"97";"1713";"4"
"97";"2591";"5"
"97";"2732";"5"
"97";"3519";"1"
"97";"4345";"10"
"97";"167";"11"
"97";"4225";"12"
"97";"4250";"3"
"110";"347";"19"
"110";"3528";"11"
"110";"3533";"5"
"110";"3564";"13"
"92";"2796";"12"
"7289";"18783";"10"
"92";"4034";"1"
"92";"4389";"15"
"92";"153";"2"
"92";"132";"14"
"92";"133";"11"
"92";"143";"5"
"92";"652";"9"
"92";"2907";"9"
"92";"124";"14"
"92";"472";"1"
"92";"2714";"17"
"92";"151";"1"
"92";"4391";"2"
"185";"134";"19"
"92";"127";"4"
"92";"3410";"12"
"92";"4388";"13"
"92";"4398";"18"
"185";"68";"1"
"92";"172";"13"
"185";"101";"12"
"92";"2719";"8"
"185";"125";"2"
"92";"208";"13"
"92";"4396";"5"
"92";"68";"18"
"185";"87";"18"
"92";"2804";"5"
"92";"2806";"1"
"185";"127";"13"
"92";"147";"4"
"92";"4393";"1"
"92";"4399";"13"
"185";"131";"1"
"185";"130";"11"
"92";"922";"1"
"92";"4148";"12"
"92";"2810";"4"
"92";"1761";"5"
"92";"544";"12"
"92";"2463";"12"
"92";"2499";"12"
"92";"145";"4"
"92";"3530";"9"
"92";"36";"14"
"92";"4395";"12"
"92";"4390";"5"
"185";"103";"9"
"92";"468";"1"
"185";"144";"13"
"92";"4394";"1"
"92";"130";"11"
"92";"146";"2"
"92";"1524";"11"
"92";"2710";"1"
"92";"2795";"15"
"92";"2797";"13"
"92";"4392";"18"
"92";"3598";"2"
"92";"4387";"3"
"92";"4020";"12"
"92";"126";"13"
"92";"152";"12"
"92";"137";"2"
"185";"129";"18"
"100";"25";"1"
"92";"2929";"7"
"100";"37";"14"
"100";"51";"4"
"100";"104";"18"
"100";"106";"12"
"100";"113";"7"
"100";"116";"17"
"100";"121";"9"
"100";"123";"12"
"100";"556";"1"
"100";"581";"14"
"100";"1315";"3"
"100";"1502";"12"
"100";"1503";"11"
"100";"1546";"5"
"100";"1814";"9"
"100";"2402";"11"
"100";"2747";"3"
"100";"2852";"9"
"100";"2854";"2"
"100";"3452";"13"
"100";"3454";"4"
"100";"3455";"12"
"100";"3681";"5"
"100";"4404";"3"
"100";"4477";"18"
"100";"4479";"1"
"103";"68";"11"
"103";"70";"2"
"103";"73";"18"
"103";"172";"13"
"103";"179";"2"
"103";"296";"17"
"103";"347";"19"
"103";"468";"1"
"103";"574";"6"
"103";"750";"5"
"103";"1104";"15"
"103";"1116";"8"
"103";"1117";"7"
"103";"1125";"1"
"103";"1219";"5"
"103";"2372";"5"
"103";"2456";"1"
"103";"2736";"19"
"103";"2797";"13"
"103";"2798";"5"
"103";"2800";"12"
"103";"2802";"4"
"103";"2806";"1"
"103";"2810";"4"
"103";"2913";"1"
"103";"2914";"2"
"103";"3528";"11"
"103";"3533";"5"
"103";"4102";"2"
"103";"4287";"17"
"103";"4538";"1"
"103";"4539";"19"
"103";"4540";"19"
"103";"4542";"5"
"103";"4543";"2"
"103";"4544";"1"
"103";"4547";"19"
"103";"4548";"6"
"103";"4549";"2"
"103";"4554";"6"
"103";"55";"11"
"103";"208";"13"
"101";"37";"14"
"101";"49";"13"
"101";"195";"2"
"101";"200";"12"
"101";"248";"18"
"101";"556";"1"
"101";"559";"12"
"101";"1430";"13"
"101";"1654";"17"
"101";"2024";"5"
"101";"2819";"10"
"101";"3440";"18"
"101";"4329";"2"
"101";"4672";"9"
"101";"4664";"10"
"101";"4665";"1"
"101";"4666";"1"
"101";"4667";"6"
"101";"4668";"1"
"101";"4669";"1"
"101";"4670";"11"
"101";"4671";"2"
"101";"4673";"9"
"101";"3847";"3"
"101";"3799";"2"
"101";"4310";"14"
"47";"113";"7"
"95";"36";"14"
"95";"60";"4"
"95";"68";"18"
"95";"70";"16"
"95";"73";"18"
"95";"83";"4"
"95";"138";"4"
"95";"146";"13"
"95";"149";"2"
"95";"207";"18"
"95";"212";"2"
"95";"224";"3"
"95";"264";"3"
"95";"268";"5"
"95";"270";"18"
"95";"340";"9"
"95";"568";"13"
"95";"726";"9"
"95";"783";"18"
"95";"1102";"6"
"95";"1103";"9"
"95";"1124";"7"
"95";"1125";"6"
"95";"1135";"1"
"95";"1143";"4"
"95";"1147";"18"
"95";"1149";"5"
"95";"1157";"12"
"95";"1761";"15"
"95";"2420";"13"
"95";"2519";"1"
"95";"2870";"12"
"95";"2949";"19"
"95";"3588";"2"
"95";"3709";"18"
"95";"3882";"12"
"95";"4126";"15"
"95";"4767";"4"
"95";"4768";"1"
"95";"4772";"9"
"95";"50";"12"
"95";"69";"19"
"95";"86";"12"
"95";"101";"12"
"95";"713";"2"
